"No.","Time","Source","Destination","Protocol","Length","Info"
"41661","320.605017","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41662","320.605066","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41663","320.612160","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41664","320.612160","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41665","320.622698","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41666","320.622755","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41667","320.635122","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41668","320.635144","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41669","320.642036","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41670","320.642036","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41671","320.647809","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41672","320.647809","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41673","320.651927","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41674","320.651950","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41675","320.665202","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41676","320.665202","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41677","320.670141","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41678","320.670164","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41679","320.683765","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41680","320.683765","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41681","320.687054","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41682","320.687076","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41683","320.703546","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
